Profession_classification,company_name,work_name,requirements,104_url,area,education,industry,seniority,number_of_applicants,salary,company_size,area_district,number_of_applicants_level,education_specialist,education_none,education_University,education_high_school,education_low_high_school,education_phd,education_master,month_salary_classfication,year_salary_classfication,time_salary_classfication,element_salary_classfication,max_salary,mix_salary,company_area
5,Starbucks_悠旅生活事業股份有限公司,FT儲備幹部(桃園市平鎮/新屋/過嶺),"1.專業咖啡調理
2.收銀管理
3.商品銷售服務
4.門市營運管理

資格條件:
1.學士或副學士學歷並有2年相關工作經驗
2.具管理潛能及抗壓性
3.願意接受7個月培訓計畫的挑戰(培訓合格薪資調整36,000以上)
4.須配合早、晚排班
5.須配合職缺地點分發異動",//www.104.com.tw/job/7ksov?jobsource=jolist_b_date,桃園市,專科,飲料店業,經歷不拘,0~5人應徵,"月薪32,600元以上",5600.0,平鎮區,1,1,0,0,0,0,0,0,1,0,0,0,,32600.0,桃園市平鎮區
5,必勝客PizzaHut/肯德基KFC_富利餐飲股份有限公司,必勝客-門市襄理-台東地區(台東市),"1..學習高品質的餐飲管理與提供顧客滿意的服務品質。
2.學習披薩製作專業知識與餐飲連鎖店管理。
3.培養增進正確的經營管理知識及理念。
4.學習成為優秀的連鎖門市經營者，並培養自我成為卓越的指導者與訓練者。

※徵才條件：
－專科以上畢業並有一年以上工作經歷(工讀經驗可)。
－須配合企業營運進行門市輪調管理訓練。

※工作待遇：
－經錄取先以實習襄理聘用，起薪$30,000起，待通過考核晉升襄理後則薪水調整以$32,000聘用。
－享年終獎金及年度調薪。
－每週排休二日、遇國定假日實施排休(不一定於當日放假)。
－任職滿三個月即享有特別休假(依報到日期按比例給假)。",//www.104.com.tw/job/511w0?jobsource=jolist_a_date,台東縣,專科,其他餐飲業,1年以上,0~5人應徵,"月薪30,000元以上",nan,台東市,1,1,0,0,0,0,0,0,1,0,0,0,,30000.0,台東縣台東市門市
2,立達國際徵信有限公司,隨行秘書(台南),"1.處理老闆交代事由(行程、開會通知、PPT製作)
2.行政工作
3.工作地點巡視
4.出差時要充當老闆的司機，載老闆四處談生意。
5.訂飲料、訂雞排的小天使
(我們都是飲料咖，需要甜食來補充腦細胞~所以希望來應徵的你也喜歡喝飲料A_A偶爾興致一來還會訂雞排當下午茶，把大家養的頭好壯壯是非常重要的一件事！)
6.開發新的聚餐餐廳
(每個月的聚餐是我們的員工福利跟上班動力XD有好吃的餐廳，千萬不要客氣，放馬拿出來吧！)
7.有時候會需要支援網路文案，所以你的腦袋裡最好有個小宇宙，隨時準備靈感爆發！
8.每天都要關心新聞跟時事，很多社會新聞都與徵信事息息相關。
9.喜歡小孩~能夠陪老闆娘聊小孩婆媽經。
10.需要每天打開公司網站http://www.liidda.com.tw/幫忙檢查網頁是否有錯字和文案是否順暢。
我們擁有傲視全台灣徵信社的搜尋排名，都是因為重視網頁規劃和粉絲團經營的成果，所以勤勞的檢查網頁是非常重要的喔~
11.看到這裡，你是否對我們的職務非常有興趣呢？那在投遞履歷之前，請務必先瀏覽我們網站中的注意事項：http://www.liidda.com.tw/career.html
12.立達徵信社為了確保員工素質，一律都由老闆或一級幹部面試，所以不想面試撲空的話，請應徵者務必透過人力銀行投擲履歷，不接受現場面試呦:)",//www.104.com.tw/job/6kf9x?jobsource=jolist_a_date,台南市,專科,徵信相關業,經歷不拘,0~5人應徵,"月薪26,400~28,000元",50.0,中西區,1,1,0,0,0,0,0,0,1,0,0,0,28000.0,26400.0,台南市中西區(依照公司規定分派)
5,法商家樂福總公司_家福股份有限公司,南區-屏東屏東店收銀服務專員(收銀課/輪班),"1.收銀結帳
2.家褔卡推廣
3.傳遞家樂福活動資訊

*上班時間可依照需求彈性調整
*歡迎所有求職者求職",//www.104.com.tw/job/7bpr3?jobsource=jolist_d_date,屏東縣,高中,量販流通相關業,經歷不拘,0~5人應徵,"月薪26,400~28,000元",nan,屏東市,1,0,0,0,1,0,0,0,1,0,0,0,28000.0,26400.0,屏東縣屏東市仁愛路188號
10,永豐餘投資控股股份有限公司,A-電機技術員（高雄大樹）,"1.需操作電子.電機相關系統
2.對PLC了解有邏輯概念者",//www.104.com.tw/job/1wnsu?jobsource=jolist_a_date,高雄市,高中,紙相關製造業,經歷不拘,0~5人應徵,"月薪28,000~33,000元",nan,大樹區,1,0,0,0,1,0,0,0,1,0,0,0,33000.0,28000.0,高雄市大樹區久堂里久堂路112號
3,德年國際股份有限公司,會計課長,"1.一般性會計帳務處理、月結、年結財務報表。
2.應付應付帳款管理、覆核各類請款申請及入帳。
3.各類所得、營業稅稅務申報及相關調節表編制。
4.熟高益系統尤佳。
5.其他主管交辦事項。",//www.104.com.tw/job/74wrw?jobsource=jolist_c_date,台北市,專科,建築及工程技術服務業,經歷不拘,0~5人應徵,nan,員工20人,中正區,1,1,0,0,0,0,0,0,0,0,0,0,,,台北市中正區水源路65號
11,鴻睿自動化股份有限公司,倉管,"1.蒐集、計算貨物清單，並用紙筆或電腦記錄資料。
2.以有條理且易取得的方式儲存擺放倉庫中的貨品項目。
3.複查庫存的貨物數量與紀錄是否相符，查出不一致之處並更正錯誤。
4.利用辨識標籤、印花、標籤工具或其他標籤設備，在庫存貨物上做記號。
5.定期清潔庫存、工具、設備或貯藏室，以確保符合安全規章。
6.檢查、測試、或測量材料、產品、裝置，使之符合規格。",//www.104.com.tw/job/71ldw?jobsource=jolist_b_date,桃園市,高中以下,電力機械器材製造修配業,經歷不拘,0~5人應徵,"月薪28,000元以上",60.0,大園區,1,0,0,0,0,1,0,0,1,0,0,0,,28000.0,桃園市大園區五權村五青路261號
6,日月明珠股份有限公司,房務員/正職、兼職,"每日客房整理與客房定期清潔保養，並依照公司標準作業流程執行。

1.每日客房整理。
2.定期客房清潔保養。
3.維護客房資產。
4.房務SOP作業執行。
5.備品室整理。
6.布巾管理分類和維護。
7.客房耗品備品控管。
8.部門教育訓練參與。
9.跨部門協助。
10.其他。",//www.104.com.tw/job/7hhy9?jobsource=jolist_b_date,南投縣,學歷不拘,旅館業,2年以上,0~5人應徵,"月薪28,000元以上",nan,魚池鄉,1,0,1,0,0,0,0,0,1,0,0,0,,28000.0,南投縣魚池鄉中明村文正巷2之6號
1,衡宇科技股份有限公司,總經理特助/資深顧問,"1.協助總經理經營策略分析、規劃。
2.進行跨部門間溝通協調及目標落實執行。
3.尋找公司未來發展之新事業。",//www.104.com.tw/job/6sjul?jobsource=jolist_b_date,新竹市,大學,IC設計相關業,10年以上,11~30人應徵,nan,nan,,3,0,0,1,0,0,0,0,0,0,0,0,,,新竹市力行路21號5樓(新竹科學工業園區)
15,財團法人中華社會福利基金會,南投草屯居家服務員,"壹、服務內容

一、服務對象：長照需要等級第二級（含）以上且符合下列之一。
(一)65歲以上老人
(二)領有身心障礙證明（手冊）者
(三)55-64歲原住民
(四)50歲以上失智症者

二、服務項目
(一)基本身體清潔BA01：梳頭修面、穿脫衣服、床上擦澡、排泄物清理。

(二)基本日常照顧BA02：協助翻身、移位、上下床、坐下/離座、刷牙洗臉、穿脫衣服、如廁、更換尿片或衛生棉、倒尿桶、造廔袋清理、清洗臉及/或手、刮鬍子、修剪指（趾）甲、協助用藥、服藥、整理床（及更換床單）、會陰沖洗（無使用身體清潔）等。

(三)測量生命徵象BA03：因疾病需要須進行之監測。

(四)協助進食或管灌餵食BA04：進食環境準備、加熱飯菜、餐具準備、協助餵食、觀察進食的量級反應，提供受照顧者及家屬有關協助進食或管灌餵食的諮詢和討論及善後等。

(五)餐食照顧BA05：任一組合。
1.在案家備餐、備餐後用具及餐具善後工作及清潔。
2.在案家準備一日所需之管灌飲食及善後工作及清潔。

(六)協助沐浴及洗頭BA07：協助或引導至浴間、穿脫衣服、全身淋浴、坐浴或盆浴、洗頭、排泄物清理、浴間之事前準備及事後清理。

(七)足部照護BA08：應由衛服部認可訓練之人員提供。

(八)翻身拍背BA10：扣背、震顫、翻身、及相關照顧指導。

(九)肢體關節活動BA11：上肢、下肢被動運動，或督促長照需要者進行主動運動或站立練習。

(十)協助上（下）樓梯BA12：協助上或下樓梯、協助輪椅搬運上或下樓梯。

(十一)陪同外出BA13：外出工具之安排、陪同外出，及注意安全。
※目的包括購物、社交、辦理事務、宗教、用餐、散步、上下學、定期式復健或洗腎、運動等。

(十二)陪同就醫BA14：協助掛號（含預約）、長照需要者準備、陪同就診、聽取及轉知醫囑與注意事項。

(十三)家務協助BA15：吸塵/溼式清洗、沖洗/除塵等。
1.獨居之長照需要者：居家生活空間清理或洗滌、衣物洗滌級晾曬烘乾（含至自助洗衣店洗衣）、熨燙、衣物簡單縫補等家事服務。
(1)長照需要者自己一人居住。
(2)長照需要者與家人同住，每名家人須符合下列條件之一：
A.年齡未滿18歲。
B.年齡18歲以上未滿65歲，並領有身心障礙證明（手冊）。
C.年齡18歲以上未滿65歲，且長照需要等級為2至8級。
D.年齡65歲以上。
E.50歲以上經確診之失智症者。
2.非獨居之長照需要者：睡眠及主要居家生活空間清理或洗滌、衣物洗滌及晾曬烘乾（含至自助洗衣店洗衣）、熨燙、衣物簡單縫補等家事服務。
※長照需要者使用之臥室及浴室，不論是否與家人共用，均不屬於共用區域。

(十四)代購或代領或代送服務BA16：餐食、食材、生活用品、藥品、郵寄、補助品、衣物床單送洗（或取回）及必要的辦理事項（如洽政府機關或繳費）等。

(十五)協助執行輔助性醫療BA17：甘油球通便、依照藥袋指示置入藥盒、攜帶式血糖機驗血糖、傷口分泌物簡易照顧處理、管路清潔、口腔抽吸之任一項。

(十六)安全看視BA18：至案家陪伴、支持（如遊戲或嗜好）、看視注意安全或協助（如日常生活參與），並注意異常狀況。

(十七)陪伴服務BA20：至案家陪伴看視、日常生活參與，或讀紙本或電子新聞或書信。

(十八)巡視服務BA22：上午六點至下午六點，至案家探視長照需要者，並進行簡易協助。

(十九)協助洗頭BA23（完成全部或部分）：協助移位或引導至浴間、穿脫衣服、洗頭、弄濕或弄髒身體部位之清潔、環境之事前準備及事後整理。

(二十)協助排泄BA24：協助移位或引導至浴間、支持及協助一般小便、大便，及處理汗、痰或嘔吐物、觀察排泄物、尿袋更換、造廔袋清理、人工肛門造口周圍照料（含造口袋的更換及排空）、生殖器官照顧的事後檢視、介紹如何大、小便控制/失禁處理。

貳、工作內容
一、服務紀錄及相關表單撰寫
二、服務費用收取
三、參與機構事項（如：團督、活動等）
四、主管交辦事項",//www.104.com.tw/job/76x59?jobsource=jolist_c_date,南投縣,學歷不拘,社會福利服務業,經歷不拘,0~5人應徵,時薪220~230元,nan,草屯鎮,1,0,1,0,0,0,0,0,0,0,1,0,230.0,220.0,南投縣草屯鎮(依照公司規定分派)
